-3, 24, -3
3, 24, -3
3, 24, 3
-3, 24, 3

-3, 0, -3
3, 0, -3
3, 0, 3
-3, 0, 3

3, 24, 3
3, 0, 3
-3, 0, 3
-3, 24, 3

-3, 0, 3
-3, 0, -3
-3, 24, -3
-3, 24, 3

3, 0, -3
3, 0, 3
3, 24, 3
3, 24, -3

3, 24, -3
3, 0, -3
-3, 0, -3
-3, 24, 3

3, 8, 3
18, 8, 3
18, 0, 3
3, 0, 3

3, 8, 3
3, 8, -3
18, 8, -3
18, 8, 3

3, 0, 3
3, 0, -3
18, 0, -3
18, 0, 3

18, 8, 3
18, 8, -3
18, 0, -3
18, 0, 3

3, 8, 3
3, 8, -3
3, 0, -3
3, 0, 3

3, 8, -3
18, 8, -3
18, 0, -3
3, 0, -3

18, 24, -3
24, 24, -3
24, 24, 3
18, 24, 3

18, 0, -3
24, 0, -3
24, 0, 3
18, 0, 3

24, 24, 3
24, 0, 3
18, 0, 3
18, 24, 3

18, 0, 3
18, 0, -3
18, 24, -3
18, 24, 3

24, 0, -3
24, 0, 3
24, 24, 3
24, 24, -3

24, 24, -3
24, 0, -3
18, 0, -3
18, 24, -3

-3, 0, -3
24, 0, -3
24, 0, 3
-3, 0, 3

-3, 0, 3
-3, 24, 3
3, 24, 3
3, 8, 3
18, 8, 3
18, 24, 3
24, 24, 3
24, 0, 3

-3, 0, -3
-3, 24, -3
3, 24, -3
3, 8, -3
18, 8, -3
18, 24, -3
24, 24, -3
24, 0, -3

-3, 24, -3
3, 24, -3
3, 24, 3
-3, 24, 3

18, 24, -3
24, 24, -3
24, 24, 3
18, 24, 3
